00000221) perceptual - 94.66955; gen_gan - 0.52839; feature_matching - 4.11829; equivariance_value - 0.40405; equivariance_jacobian - 0.60868; kp_distance - 2.16085; verilight - 0.71456; disc_gan - 0.30677
00000222) perceptual - 95.52331; gen_gan - 0.53589; feature_matching - 4.18968; equivariance_value - 0.39466; equivariance_jacobian - 0.59873; kp_distance - 2.18243; verilight - 0.83615; disc_gan - 0.31460
00000223) perceptual - 95.86331; gen_gan - 0.53247; feature_matching - 4.20315; equivariance_value - 0.38584; equivariance_jacobian - 0.59700; kp_distance - 2.17735; verilight - 0.72013; disc_gan - 0.29860
00000224) perceptual - 96.03132; gen_gan - 0.54780; feature_matching - 4.23112; equivariance_value - 0.40155; equivariance_jacobian - 0.59822; kp_distance - 2.20741; verilight - 0.76020; disc_gan - 0.31243
00000225) perceptual - 95.79927; gen_gan - 0.54397; feature_matching - 4.16108; equivariance_value - 0.37777; equivariance_jacobian - 0.58459; kp_distance - 2.19725; verilight - 0.81909; disc_gan - 0.29616
00000226) perceptual - 95.99255; gen_gan - 0.54240; feature_matching - 4.19440; equivariance_value - 0.38075; equivariance_jacobian - 0.57807; kp_distance - 2.12995; verilight - 0.78661; disc_gan - 0.29829
00000227) perceptual - 96.91017; gen_gan - 0.54661; feature_matching - 4.19100; equivariance_value - 0.37324; equivariance_jacobian - 0.58193; kp_distance - 2.16085; verilight - 0.76636; disc_gan - 0.31363
00000228) perceptual - 92.30157; gen_gan - 0.52671; feature_matching - 4.02930; equivariance_value - 0.38711; equivariance_jacobian - 0.59398; kp_distance - 2.22561; verilight - 0.76421; disc_gan - 0.31226
00000229) perceptual - 92.88601; gen_gan - 0.53810; feature_matching - 4.06155; equivariance_value - 0.38080; equivariance_jacobian - 0.58882; kp_distance - 2.14688; verilight - 0.76819; disc_gan - 0.31025
00000230) perceptual - 98.42293; gen_gan - 0.54418; feature_matching - 4.28540; equivariance_value - 0.39171; equivariance_jacobian - 0.59141; kp_distance - 2.13799; verilight - 0.83876; disc_gan - 0.28718
00000231) perceptual - 92.88770; gen_gan - 0.53270; feature_matching - 4.08462; equivariance_value - 0.37677; equivariance_jacobian - 0.58696; kp_distance - 2.14391; verilight - 0.80191; disc_gan - 0.32267
00000232) perceptual - 101.07703; gen_gan - 0.56508; feature_matching - 4.40162; equivariance_value - 0.41002; equivariance_jacobian - 0.59918; kp_distance - 2.18074; verilight - 0.75607; disc_gan - 0.27923
00000233) perceptual - 98.54685; gen_gan - 0.54619; feature_matching - 4.25104; equivariance_value - 0.39232; equivariance_jacobian - 0.60791; kp_distance - 2.29926; verilight - 0.87263; disc_gan - 0.29853
00000234) perceptual - 93.68599; gen_gan - 0.52841; feature_matching - 4.10564; equivariance_value - 0.35977; equivariance_jacobian - 0.57786; kp_distance - 2.36106; verilight - 0.74166; disc_gan - 0.31615
00000235) perceptual - 95.19273; gen_gan - 0.54591; feature_matching - 4.13195; equivariance_value - 0.36315; equivariance_jacobian - 0.57106; kp_distance - 2.29968; verilight - 0.73072; disc_gan - 0.31079
00000236) perceptual - 97.27166; gen_gan - 0.54262; feature_matching - 4.25803; equivariance_value - 0.37598; equivariance_jacobian - 0.58726; kp_distance - 2.23323; verilight - 0.85279; disc_gan - 0.29921
00000237) perceptual - 95.98396; gen_gan - 0.54954; feature_matching - 4.15932; equivariance_value - 0.39904; equivariance_jacobian - 0.61281; kp_distance - 2.34032; verilight - 0.78577; disc_gan - 0.31555
00000238) perceptual - 94.85056; gen_gan - 0.53254; feature_matching - 4.14057; equivariance_value - 0.38370; equivariance_jacobian - 0.61412; kp_distance - 2.33439; verilight - 0.74462; disc_gan - 0.28981
00000239) perceptual - 96.51413; gen_gan - 0.53860; feature_matching - 4.14046; equivariance_value - 0.38071; equivariance_jacobian - 0.61202; kp_distance - 2.44825; verilight - 0.67512; disc_gan - 0.31744
00000240) perceptual - 96.78644; gen_gan - 0.52800; feature_matching - 4.18066; equivariance_value - 0.35245; equivariance_jacobian - 0.58629; kp_distance - 2.44402; verilight - 0.82095; disc_gan - 0.30209
00000241) perceptual - 95.17666; gen_gan - 0.54619; feature_matching - 4.15236; equivariance_value - 0.36061; equivariance_jacobian - 0.57487; kp_distance - 2.52360; verilight - 0.83003; disc_gan - 0.30710
00000242) perceptual - 97.36195; gen_gan - 0.56301; feature_matching - 4.23613; equivariance_value - 0.38772; equivariance_jacobian - 0.60545; kp_distance - 2.67132; verilight - 0.78955; disc_gan - 0.27980
00000243) perceptual - 96.12285; gen_gan - 0.54120; feature_matching - 4.18796; equivariance_value - 0.34417; equivariance_jacobian - 0.58380; kp_distance - 2.67640; verilight - 0.80422; disc_gan - 0.30412
00000244) perceptual - 95.21510; gen_gan - 0.55075; feature_matching - 4.18407; equivariance_value - 0.35484; equivariance_jacobian - 0.59569; kp_distance - 2.70392; verilight - 0.74621; disc_gan - 0.29771
00000245) perceptual - 94.53580; gen_gan - 0.53966; feature_matching - 4.15968; equivariance_value - 0.34997; equivariance_jacobian - 0.58924; kp_distance - 2.58116; verilight - 0.80370; disc_gan - 0.30402
00000246) perceptual - 99.74743; gen_gan - 0.55510; feature_matching - 4.31676; equivariance_value - 0.35299; equivariance_jacobian - 0.58495; kp_distance - 2.52741; verilight - 0.90731; disc_gan - 0.28965
00000247) perceptual - 94.96711; gen_gan - 0.53912; feature_matching - 4.14802; equivariance_value - 0.33168; equivariance_jacobian - 0.57218; kp_distance - 2.52487; verilight - 0.77816; disc_gan - 0.31688
00000248) perceptual - 95.39352; gen_gan - 0.53433; feature_matching - 4.16776; equivariance_value - 0.31224; equivariance_jacobian - 0.56140; kp_distance - 2.48720; verilight - 0.88256; disc_gan - 0.30834
